pos,cat,season,weeks_listed,out_weeks,missed_this,played_next,missed_next,same_cat_next,same_cat_out_next,dppg_next
RB,ribs,2012,9,0,1,True,0.0,False,False,-8.523749999999998
QB,foot,2012,1,0,1,True,8.0,False,False,0.16500000000000092
QB,groin,2012,2,0,1,True,8.0,False,False,0.16500000000000092
QB,other,2012,1,0,1,True,8.0,False,False,0.16500000000000092
QB,shoulder,2012,1,1,1,True,8.0,False,False,0.16500000000000092
QB,hand,2012,1,0,0,True,0.0,True,False,2.9662499999999987
QB,knee,2012,2,0,0,True,0.0,True,False,2.9662499999999987
WR,ankle,2012,1,0,0,False,12.0,False,False,
WR,groin,2012,1,0,0,False,12.0,False,False,
WR,elbow,2012,1,0,1,True,0.0,False,False,3.622916666666667
WR,ribs,2012,2,0,1,True,0.0,False,False,3.622916666666667
TE,toe,2013,7,0,0,False,16.0,False,False,
QB,ankle,2013,9,0,0,True,0.0,False,False,-7.081250000000001
QB,shoulder,2013,9,0,0,True,0.0,False,False,0.6587500000000013
QB,hamstring,2013,6,1,9,True,7.0,False,False,-10.742539682539682
WR,ankle,2013,1,0,1,True,0.0,False,False,3.260416666666666
WR,hand,2013,1,0,1,True,0.0,False,False,3.260416666666666
WR,knee,2013,2,1,1,True,0.0,False,False,3.260416666666666
WR,shoulder,2013,1,0,9,True,1.0,False,False,-4.673333333333334
QB,knee,2013,1,0,0,True,0.0,False,False,-3.3562499999999993
QB,ankle,2013,1,0,0,False,10.0,False,False,
QB,elbow,2013,3,0,0,False,10.0,False,False,
QB,hand,2013,2,0,0,False,10.0,False,False,
TE,hamstring,2013,1,0,0,True,0.0,True,False,2.2437500000000004
TE,other,2013,1,0,0,True,0.0,False,False,2.2437500000000004
QB,back,2013,1,1,1,True,1.0,True,False,-0.17466666666666697
QB,ribs,2013,2,0,1,True,1.0,False,False,-0.17466666666666697
WR,knee,2013,1,0,7,False,16.0,False,False,
WR,other,2013,7,6,7,False,16.0,False,False,
WR,concussion,2013,1,0,0,True,1.0,True,False,-5.643333333333331
WR,hand,2013,2,0,0,True,1.0,False,False,-5.643333333333331
WR,shin,2013,4,0,0,True,1.0,False,False,-5.643333333333331
TE,illness,2013,1,0,5,False,16.0,False,False,
WR,ankle,2013,9,0,3,True,2.0,True,False,-8.543956043956044
WR,concussion,2013,3,3,3,True,2.0,False,False,-8.543956043956044
WR,neck,2013,1,0,3,True,2.0,False,False,-8.543956043956044
RB,hamstring,2013,5,4,4,True,1.0,False,False,-2.7333333333333343
RB,toe,2013,1,0,4,True,1.0,False,False,-2.7333333333333343
QB,ankle,2013,3,1,6,False,14.0,False,False,
QB,other,2013,1,0,6,False,14.0,True,True,
WR,core,2013,1,0,1,True,1.0,False,False,-3.5466666666666686
WR,shoulder,2013,2,0,1,True,1.0,False,False,-3.5466666666666686
WR,concussion,2013,1,0,0,True,2.0,False,False,-3.921428571428571
WR,hamstring,2013,6,0,0,True,2.0,False,False,-3.921428571428571
TE,knee,2013,12,0,4,False,16.0,False,False,
QB,hand,2013,1,0,0,True,0.0,False,False,2.958750000000002
QB,other,2013,1,0,0,True,0.0,True,False,2.958750000000002
WR,hand,2013,4,1,3,True,5.0,False,False,-2.939160839160838
QB,collarbone,2013,8,7,7,True,0.0,False,False,2.918194444444442
QB,concussion,2013,2,1,7,False,12.0,False,False,
QB,ribs,2013,1,0,7,False,12.0,False,False,
WR,ankle,2013,5,0,3,True,2.0,True,False,3.5873626373626344
WR,hamstring,2013,4,2,3,True,2.0,True,False,3.5873626373626344
WR,knee,2013,1,0,3,True,2.0,True,False,3.5873626373626344
WR,shoulder,2013,1,0,3,True,2.0,False,False,3.5873626373626344
TE,knee,2013,4,1,2,True,0.0,False,False,1.435714285714285
TE,other,2013,10,0,2,True,0.0,True,False,1.435714285714285
WR,hamstring,2013,3,0,0,True,0.0,False,False,-3.981250000000001
WR,knee,2013,1,0,0,True,0.0,True,False,-3.981250000000001
