player,pos,mean,sd,exp_missed,avail,vor,score
Jonah Coleman,RB,6.559583333333333,3.607770833333334,4.62,4.7229,-2.8605,-2.9358408479301144
Bryce Young,QB,14.194237638716976,9.090261089026358,3.65,11.042281927766588,-3.10902192513306,-2.984882785636839
Xavier Hutchinson,WR,6.614585065448596,5.369978274319801,3.4,5.2138494045300705,-2.983754174028033,-3.001838016761803
Dylan Sampson,RB,6.402454930138252,5.598060888761905,5.0200000000000005,4.534444550521445,-3.048955449478555,-3.024781794637241
Najee Harris,RB,6.862923351158645,3.7746078431372547,6.23,4.616325207088182,-2.967074792911818,-3.0340737903517363
Jaylin Noel,WR,6.458050133499707,4.907841864272512,2.92,5.181635518878589,-3.0159680596795146,-3.057158722915649
Tre' Harris,WR,6.682226902942094,3.0,3.4,5.2671670882014165,-2.930436490356687,-3.067019246806447
Aaron Rodgers,QB,14.263037324141916,6.2364771038356785,3.65,11.095804035986873,-3.055499816912775,-3.0740498766760873
Darnell Mooney,WR,6.795653167379406,3.825080142328798,4.2,5.196675951525428,-3.0009276270326755,-3.0962563763659956
Olamide Zaccheaus,WR,6.521283119202855,4.598948757088914,3.4,5.14030551748931,-3.057298061068794,-3.113933379664108
Cooper Kupp,WR,7.082597026799096,4.053594084266455,5.45,5.155714012155225,-3.0418895664028787,-3.125792618639316
Isaiah Bond,WR,6.606910459134049,3.205768610014201,3.6,5.168935829793109,-3.0286677487649944,-3.154962074714044
Luke McCaffrey,WR,6.75163089655444,5.220392705534709,4.68,5.067694720002039,-3.129908858556065,-3.1554719797290893
Kyle Williams,WR,6.4282850610688085,5.074803087177509,3.4,5.067001165783649,-3.1306024127744543,-3.1634450148653386
Malik Washington,WR,6.422722886531724,3.3196274596087187,2.92,5.15329059837016,-3.044312980187944,-3.164914363657268
Tutu Atwell,WR,6.690412581105155,5.689338399899538,4.68,5.021744972641281,-3.1758586059168223,-3.1779744423716054
Mack Hollins,WR,6.986218116982838,4.839018381975719,5.65,5.0444604344684905,-3.153143144089613,-3.197774981440587
Joshua Palmer,WR,6.823911764705883,3.056575128334247,4.68,5.121947889273358,-3.075655689284746,-3.2094096893177935
Cam Ward,QB,13.448354056232917,5.398444220328668,2.33,10.984140945340826,-3.167162907558822,-3.227614611497485
